,datetime,tweet_Id,Username,text,likes
47,2022-09-05 14:42:27+00:00,1566798922491645955,Belagavi_infra,@allaboutbelgaum Same in most of the places.,6
48,2022-09-05 14:40:11+00:00,1566798352754155520,Belagavi_infra,"@Manuz666 @Smart_Belagavi @iamabhaypatil @BenakeAnil @HardeepSPuri @MoHUA_India Most of the newly constructed drains are blocked, no time to time maintainance are being done and also due to uneven &amp; unscientific road design.",2
49,2022-09-05 14:36:05+00:00,1566797318854447104,KiranVSHort,@siddaramaiah @manifester1233 @HKPatil1953 @Jds_news @PrajwalRevanna_ @BelagaviKA @belagavi_ @ballari_rayanna @KannadaGrahaka @Kanagalogy @KalaburagiRaya @kannadamanasuga @ajavgal @byrappa_harish @Karapa_Official @karavallihuduga @karave_KRV @KaraveRamamurt1 @nammakarave,2
50,2022-09-05 14:26:16+00:00,1566794847843139584,Manuz666,@Belagavi_infra @Smart_Belagavi @iamabhaypatil @BenakeAnil @HardeepSPuri @MoHUA_India Is this happening due to white topping road??,0
51,2022-09-05 14:24:38+00:00,1566794437837041664,Ojas_Naik_2000,@allaboutbelgaum @Smart_Belagavi Wtf is this😶😶😶😶 just horrible scenes 😮😮😮,0
52,2022-09-05 14:22:35+00:00,1566793921971519489,HTKannadaNews,"Basava Siddalinga Swamiji: ಬೆಳಗಾವಿಯ ಬಸವ ಸಿದ್ಧಲಿಂಗ ಸ್ವಾಮೀಜಿ ಆತ್ಮಹತ್ಯೆ.. ಮುರುಘಾ ಶ್ರೀಗಳ ಕೇಸ್​ಗೂ ಇದಕ್ಕೂ ಇದೆ ನಂಟು
#BasavaSiddalingaSwamiji #Belgaum #Belagavi #MurughaMutt  #HtKannada #KannadaNews 
https://t.co/wW9NTceTwm",0
53,2022-09-05 14:19:45+00:00,1566793210847866881,Belagavi_infra,"Wow ! 

@Smart_Belagavi @iamabhaypatil @BenakeAnil Dear Sir's have you initiated any action on these engineers and contractors who has done such wonderful works in Belagavi ? Looks like compromised in all aspects 🙏👏

@HardeepSPuri @MoHUA_India https://t.co/9HNvjluzuF",26
54,2022-09-05 14:14:45+00:00,1566791950292127744,ZyiteGadgets,Belagavi Tech Meet-up attracts over 300 https://t.co/dXU7Jrnuqi https://t.co/xPBtEdmtdk,0
55,2022-09-05 14:13:07+00:00,1566791539795566592,sanjayp23682142,@allaboutbelgaum @Smart_Belagavi Belgaum  smart city has introduced  a new concept  of roads which saves cost of  construction of drains. The road itself turns into drains during rain.,0
56,2022-09-05 14:10:52+00:00,1566790976089501701,sanjayp23682142,"@allaboutbelgaum @Smart_Belagavi One serious observation 
Are there rain water drains ?",0
57,2022-09-05 14:09:25+00:00,1566790607498260480,nikhil1n,@BelagaviM @Belagavi_infra @BSBommai Ni avr mani olag odi hog tamma golf course bit,2
58,2022-09-05 14:09:03+00:00,1566790515915632640,sanjayp23682142,@allaboutbelgaum @Smart_Belagavi Now they will show Bangalore  pictures  and start comparing how better belgaum smart  city is,0
59,2022-09-05 14:03:28+00:00,1566789111150546944,allaboutbelgaum,This is the talent and smartness in Belagavi Direct Short karne ka -Then the Street lights will illuminate near ZP office on Kacheri Road. This is nothing new has been happening for ages by Corporation https://t.co/Nr71v0KGWX,39
60,2022-09-05 14:02:29+00:00,1566788864668483585,Contrarian_View,"Lingayat seer found hanging at Sri Guru Madiwaleshwar mutt in Karnataka

A Lingayat seer at the Sri Guru Madiwaleshwar mutt in Karnataka's Belagavi district was found hanging in his quarters on Monday",0
61,2022-09-05 14:01:12+00:00,1566788543317680129,anandvakkund99,"Can any one help us? Help our Farmers in #Karnataka #Belagavi ?
Until today #Karnataka farmers getting Rs.2,800 per tonne for their Sugarcanes and #Maharashtra paying Rs.3,800. @narendramodi @BSBommai @BSYBJP @siddaramaiah @hd_kumaraswamy @publictvnews @astitvam",0
62,2022-09-05 14:00:52+00:00,1566788459721015296,Guru_indian1,"@pradeep_c_k @harishupadhya Yes shivamogga,Mysuru, Hublli, Belagavi all have airports ,Railway, everything that it is required.",1
63,2022-09-05 14:00:52+00:00,1566788457732898817,LocalviewIn,ಜೀವನ ಪರ್ಯಂತ ಪೂಜಿಸಲ್ಪಡುವ ಸ್ಥಾನದಲ್ಲಿ ಶಿಕ್ಷಕರು ನಿಲ್ಲುತ್ತಾರೆ - ಲಕ್ಷ್ಮೀ ಹೆಬ್ಬಾಳಕರ್ https://t.co/TB3f0qTaQH @laxmi_hebbalkar #belagavi,0
64,2022-09-05 13:53:22+00:00,1566786570945826816,IndiaToday,"A #Lingayat seer at the Sri Guru Madiwaleshwar mutt in #Karnataka's Belagavi district was found hanging in his quarters on Monday.
@sagayrajp 
https://t.co/x7SuctJJxr",6
65,2022-09-05 13:50:57+00:00,1566785963304505347,_NSSIndia,NSS Unit 1 of JNMC KAHER Belagavi in collaboration with UHC Rukmininagar Observed National Nutrition Week and Poshan Maha. @ianuragthakur @Anurag_Office @NisithPramanik @NisithOffice @YASMinistry @pankajsinghips @pibyas https://t.co/PMyU4PEkfX,67
66,2022-09-05 13:50:57+00:00,1566785962285207552,Belagavi3,@sriksri @gurusamymathi @CbeCorp @News18TamilNadu Yep lot of complaints against dis Mayor nd his hubby who's No. 1 in Mamool collection across all Tasmac Bars nd Roadside shops across cbe City...,1
67,2022-09-05 13:45:10+00:00,1566784506618593286,Bhar68917078,@Belagavi_infra @CMofKarnataka @BSBommai @MangalSAngadi @Irannakadadi_MP @iamabhaypatil @belagavi_news @BelagaviRailway @BelagaviKA @BelagaviM That’s why I always tells that vote for Development not for unnecessary things. People of Belgaum pls think before u cast your valuable votes. Pls think and act accordingly.,4
68,2022-09-05 13:40:00+00:00,1566783205339844609,thenewsminute,"Seer in Belagavi found dead days after being named in purported audio

#Karnataka

https://t.co/mCxyIM7ufg",2
69,2022-09-05 13:39:50+00:00,1566783164500086784,Bhar68917078,@Belagavi_infra @CMofKarnataka @BSBommai @MangalSAngadi @Irannakadadi_MP @iamabhaypatil @belagavi_news @BelagaviRailway @BelagaviKA @BelagaviM Why our Belgaum Representatives are still silent???? After some time This Hubli influence people will take Belgaum MP and MLA’s also.  We have to do something for this bleddy things. Pls wake up MP and MLA of Belgaum. Pls listen our voice.,0
70,2022-09-05 13:32:15+00:00,1566781255555117058,Anirudh48566323,@Belagavi_infra @CMofKarnataka @BSBommai @MangalSAngadi @Irannakadadi_MP @iamabhaypatil @belagavi_news @BelagaviRailway @BelagaviKA @BelagaviM While others states are busy in developing multiple cities. It appears Hubbali govt sorry..... Karnataka govt is interested in developing only one city(Hint:- It is not Bengaluru). Shocked but not Surprised.,6
71,2022-09-05 13:31:21+00:00,1566781028530003971,republic,#LIVE: Seer Basavasiddhalinga from Madivalshwar Mutt in Karnataka's Belagavi found dead after allegations against him in an audio-tape; Tune in here - https://t.co/fyBXoa0vac https://t.co/IYPTss2Axy,18
72,2022-09-05 13:30:41+00:00,1566780860673601536,H_Diots,"@GirniZameer @Belagavi_infra @CMofKarnataka @BSBommai @MangalSAngadi @Irannakadadi_MP @iamabhaypatil @belagavi_news @BelagaviRailway @BelagaviKA @BelagaviM @Hubballi_Infra @HubliCityeGroup Hing andra yeno dost ? Yen tilililla , adra bhari Andi ,addi illa",0
73,2022-09-05 13:28:19+00:00,1566780266504671232,Anirudh48566323,@Belagavi_infra @CMofKarnataka @BSBommai @MangalSAngadi @Irannakadadi_MP @iamabhaypatil @belagavi_news @BelagaviRailway @BelagaviKA @BelagaviM How can you expect them to develop Belagavi when they are neglecting Bengaluru (The most valuable city in the state and highest tax contributor ),1
74,2022-09-05 13:26:07+00:00,1566779710805524483,Anirudh48566323,"@Belagavi_infra @CMofKarnataka @BSBommai @MangalSAngadi @Irannakadadi_MP @iamabhaypatil @belagavi_news @BelagaviRailway @BelagaviKA @BelagaviM Then Govt wonders, why people of Raichuru want to be a part of Telangana?? Hubbali govt has kept one promise for sure. They had said they will not concentrate on Bengaluru and it has become the Least liveable city. 👏👏",1
75,2022-09-05 13:25:51+00:00,1566779646074830849,UvEnglish,"#Belagavi: 
#Leopard manages to escape into forest area; Month-long #rescue &amp; #relocation operation called off

https://t.co/H55M9i4YKz",0
76,2022-09-05 13:21:46+00:00,1566778618826539008,GirniZameer,@Belagavi_infra @CMofKarnataka @BSBommai @MangalSAngadi @Irannakadadi_MP @iamabhaypatil @belagavi_news @BelagaviRailway @BelagaviKA @BelagaviM we r notice many belgavi twitter mentioned Belgavi is 2nd Capital of KA &amp; 2nd or 3rd buissit Airport in KA state if same IXG 2nd city after BLR so Govt should b consider develop to other Dist no need to focus only belgavi @Hubballi_Infra @HubliCityeGroup,5
77,2022-09-05 13:17:00+00:00,1566777417959886849,sachibtpi,@allaboutbelgaum @Smart_Belagavi Complaining about floods and flooding will not ease our problems. I saw a Rickshaw Driver Dig a hole at Goaves to let the water into drains and that solved some issue....not a permanent solution though,0
78,2022-09-05 13:14:02+00:00,1566776670312206338,belagavi_news,"Unit Headquarter Quota (UHQ) #Agniveer Recruitment Rally is set to take place in Shivaji Stadium, The Maratha Light Regimental Center, Belagavi, beginning on September 19th. Arrive at this Regiment Center at 01:00 on the stated date in order to take part in the recruitment rally. https://t.co/AeRujr1ExC",7
